121,32,273
114,105,265
99,104,284
101,114,278
97,108,274
46,32,259
116,32,266
114,32,260
46,10,295
265,101,294
263,103,296
83,280,282
97,110,270
101,109,293
111,114,291
111,109,286
101,32,256
32,275,288
98,272,287
274,32,292
116,105,298
116,104,267
289,108,299
97,114,271
100,32,258
101,258,268
267,256,275
111,260,283
264,32,279
97,121,289
105,110,263
111,110,264
101,260,272
115,32,262
118,268,276
277,102,280
82,101,281
44,32,257
119,105,277
101,110,290
269,50,297
50,48,261
257,261,269
269,49,285
